aluminium,flouride,bacteria,viruses,uranium,is_safe
2.21,1.06,0.82,0.82,0.04,1
2.47,0.16,0.41,0.003,0.05,0
1.92,0.04,0.76,0.76,0.02,1
1.22,1.27,0.08,0.008,0.07,0
2.12,0.43,0.04,0.003,0.03,1
4.19,1.38,0.46,0.003,0.02,0
4.21,0.5,0.28,0.005,0.03,1
4.07,1.27,0.61,0.61,0.05,0
2.56,1.12,0.1,0.001,0.07,1
3.55,1.29,0.62,0.62,0.08,0
3.94,1.43,0.71,0.71,0.03,1
1.22,0.52,0.18,0.003,0.01,1
0.8,0.53,0.96,0.96,0.03,1
3.31,0.74,0.5,0.5,0.04,1
2.59,0.93,0.5,0.5,0.02,1
3.9,0.01,0.5,0.5,0.02,1
3.15,0.92,0.42,0.006,0.01,0
0.18,0.32,0.33,0.006,0.08,0
3.86,1.39,0.07,0.006,0.05,0
1.25,1.33,0.59,0.59,0.01,0
0.18,0.07,0.79,0.79,0.04,1
2.29,0.61,1.0,1.0,0.08,0
0.07,0.24,0.15,0.005,0.03,1
2.71,0.98,0.28,0.004,0.01,1
4.18,0.36,0.78,0.78,0.07,0
4.34,0.48,0.33,0.001,0.0,1
0.92,1.06,0.27,0.008,0.07,1
2.39,0.37,0.98,0.98,0.0,1
0.9,1.39,0.87,0.87,0.08,1
0.89,0.85,0.44,0.004,0.02,1
2.4,0.09,0.83,0.83,0.05,0
4.91,0.59,0.07,0.008,0.09,1
3.37,1.4,0.28,0.003,0.04,1
3.08,1.16,0.51,0.51,0.08,0
3.69,1.46,0.31,0.004,0.07,1
4.71,1.03,0.48,0.009,0.02,1
3.36,0.65,0.09,0.006,0.02,0
4.46,0.22,0.69,0.69,0.07,0
4.5,0.28,0.52,0.52,0.08,1
0.57,0.44,0.68,0.68,0.04,0
2.69,0.7,0.01,0.0,0.08,1
4.3,0.79,0.73,0.73,0.05,1
2.17,0.82,0.11,0.005,0.01,1
1.32,1.44,0.44,0.003,0.07,0
2.59,1.5,0.79,0.79,0.06,0
5.0,1.39,0.8,0.8,0.08,1
2.6,1.44,0.07,0.005,0.08,1
0.35,1.19,0.7,0.7,0.02,1
3.83,0.78,0.61,0.61,0.03,1
2.9,1.19,0.39,0.001,0.02,1
1.56,1.34,0.22,0.003,0.07,1
4.34,0.96,0.21,0.004,0.04,1
2.23,1.0,0.67,0.67,0.0,1
3.81,0.74,0.05,0.003,0.0,1
2.75,1.43,0.92,0.92,0.01,0
0.81,0.59,0.49,0.007,0.09,0
1.12,1.33,0.34,0.006,0.01,1
4.0,1.04,1.0,1.0,0.03,1
4.08,0.8,0.32,0.004,0.04,0
1.55,1.43,0.58,0.58,0.01,1
2.42,1.0,0.18,0.005,0.06,0
2.56,1.41,0.74,0.74,0.01,1
2.99,0.19,0.72,0.72,0.03,1
1.36,1.04,0.08,0.001,0.08,1
1.43,1.19,0.18,0.001,0.0,0
3.83,0.4,0.02,0.002,0.04,1
1.66,1.45,0.58,0.58,0.01,0
0.47,1.23,0.56,0.56,0.0,1
3.38,1.43,0.43,0.003,0.06,0
0.01,0.82,0.7,0.7,0.04,1
3.62,1.42,0.31,0.007,0.06,1
4.42,1.37,0.09,0.008,0.02,0
3.43,0.49,0.14,0.007,0.02,0
3.65,0.23,0.93,0.93,0.05,0
4.86,1.26,0.75,0.75,0.07,0
2.82,1.26,0.48,0.007,0.06,1
1.05,1.19,0.72,0.72,0.02,1
0.73,0.95,0.19,0.004,0.05,0
1.21,0.88,0.28,0.001,0.07,1
2.15,1.32,0.85,0.85,0.09,0
3.6,0.66,0.76,0.76,0.04,0
2.67,0.7,0.77,0.77,0.05,0
1.73,0.17,0.66,0.66,0.02,0
3.35,0.45,0.36,0.003,0.01,1
0.37,0.87,0.17,0.001,0.04,0
2.11,0.82,0.48,0.008,0.02,0
0.79,1.27,0.82,0.82,0.07,0
1.75,1.25,0.6,0.6,0.04,1
0.99,1.16,0.98,0.98,0.07,0
1.86,0.97,0.49,0.003,0.08,1
4.84,0.36,0.21,0.007,0.06,0
3.09,0.78,0.89,0.89,0.04,0
0.54,0.84,0.37,0.006,0.01,1
0.29,0.37,0.79,0.79,0.08,1
1.72,1.3,0.73,0.73,0.03,0
3.29,0.15,0.91,0.91,0.0,1
2.59,0.14,0.51,0.51,0.01,0
0.22,0.9,0.51,0.51,0.01,1
0.11,0.17,0.99,0.99,0.03,0
2.35,0.82,0.29,0.004,0.05,1
4.04,0.64,0.1,0.002,0.02,1
3.6,0.65,0.39,0.008,0.07,1
3.71,0.54,0.31,0.001,0.0,1
0.61,0.8,0.97,0.97,0.0,1
0.79,0.76,0.26,0.003,0.04,0
3.79,0.21,0.61,0.61,0.05,0
3.05,0.81,0.87,0.87,0.05,1
0.84,0.04,0.08,0.005,0.04,1
1.98,0.62,0.92,0.92,0.05,1
4.18,0.12,0.74,0.74,0.04,1
3.27,0.68,0.05,0.008,0.0,1
0.59,1.33,1.0,1.0,0.08,1
0.36,0.94,0.26,0.002,0.0,1
1.4,1.48,0.13,0.005,0.08,1
1.46,0.79,0.23,0.002,0.02,1
2.02,0.33,0.5,0.5,0.02,0
0.0,1.3,0.49,0.008,0.08,0
0.93,1.05,0.83,0.83,0.07,1
4.0,0.14,0.66,0.66,0.05,0
0.78,1.06,0.63,0.63,0.02,1
4.48,1.44,0.15,0.003,0.04,1
0.71,0.66,0.3,0.006,0.03,1
0.06,1.28,0.93,0.93,0.09,0
0.87,1.49,0.99,0.99,0.03,1
1.44,1.09,0.46,0.008,0.08,0
2.69,0.97,0.24,0.004,0.08,1
1.21,0.13,0.17,0.0,0.02,1
4.36,0.03,0.1,0.001,0.05,1
2.83,1.11,0.93,0.93,0.05,0
2.58,0.63,0.91,0.91,0.06,0
0.57,1.43,0.75,0.75,0.07,1
2.14,0.52,0.59,0.59,0.07,1
0.15,0.96,0.25,0.001,0.01,1
2.01,0.63,0.48,0.003,0.07,1
1.72,0.45,0.79,0.79,0.06,1
2.18,0.48,0.62,0.62,0.02,0
4.38,0.87,0.61,0.61,0.09,1
1.75,0.58,0.5,0.5,0.01,0
1.89,0.13,0.44,0.008,0.04,0
2.9,1.16,0.36,0.005,0.01,0
3.73,1.19,0.86,0.86,0.03,1
2.97,0.57,0.37,0.007,0.09,1
3.85,0.28,0.19,0.0,0.02,0
2.32,1.4,0.95,0.95,0.08,1
3.95,1.43,0.35,0.004,0.03,1
2.06,1.29,0.64,0.64,0.09,0
2.22,1.35,0.39,0.003,0.04,1
3.84,0.88,0.68,0.68,0.05,1
3.97,1.31,0.57,0.57,0.02,1
4.44,0.67,0.65,0.65,0.07,0
3.73,0.75,0.66,0.66,0.09,1
2.71,1.28,0.96,0.96,0.07,1
3.24,0.29,0.78,0.78,0.06,1
2.96,0.36,0.84,0.84,0.05,0
3.85,0.82,0.9,0.9,0.0,1
2.91,1.09,0.77,0.77,0.08,1
3.44,0.24,0.28,0.007,0.06,1
4.41,1.43,0.37,0.007,0.03,0
2.2,1.47,0.58,0.58,0.04,1
1.14,1.07,0.96,0.96,0.02,1
0.0,0.42,0.15,0.003,0.06,1
1.14,1.06,0.22,0.007,0.03,1
0.09,0.15,0.72,0.72,0.09,1
2.9,1.35,0.38,0.006,0.07,1
1.35,1.16,0.87,0.87,0.08,0
2.37,0.07,0.77,0.77,0.06,0
0.13,1.29,0.56,0.56,0.08,0
3.93,0.55,0.78,0.78,0.07,0
4.07,0.22,0.31,0.008,0.06,1
3.97,0.63,0.23,0.004,0.02,0
1.44,0.59,0.65,0.65,0.04,1
3.89,0.77,0.24,0.003,0.08,1
2.09,0.53,0.66,0.66,0.02,1
4.79,0.5,0.5,0.5,0.06,1
2.54,1.4,0.56,0.56,0.03,0
0.19,1.19,0.61,0.61,0.01,1
4.77,0.83,0.68,0.68,0.05,1
3.81,0.79,0.59,0.59,0.05,1
1.51,0.92,0.93,0.93,0.07,0
0.76,0.57,0.3,0.005,0.03,1
3.36,0.59,0.25,0.008,0.04,1
4.27,0.36,0.41,0.002,0.06,1
1.9,0.07,0.12,0.006,0.01,1
1.44,0.46,0.37,0.004,0.08,1
4.26,1.01,0.3,0.008,0.08,1
3.19,0.32,0.64,0.64,0.05,1
1.24,1.31,0.64,0.64,0.01,1
3.36,0.73,0.92,0.92,0.0,1
3.29,1.09,0.75,0.75,0.01,1
1.67,0.62,0.65,0.65,0.02,0
2.94,0.06,0.58,0.58,0.06,1
0.49,0.44,0.31,0.002,0.02,1
4.1,1.07,0.35,0.004,0.09,0
2.82,1.3,0.89,0.89,0.06,1
2.74,0.4,0.25,0.003,0.04,0
4.19,0.95,0.36,0.003,0.06,1
4.68,1.34,0.62,0.62,0.06,0
2.26,0.21,0.33,0.005,0.05,1
1.2,0.85,0.56,0.56,0.03,0
3.05,0.24,0.49,0.001,0.05,1
0.78,0.05,0.32,0.002,0.05,1
1.56,1.25,0.15,0.002,0.04,0
3.36,0.34,0.21,0.001,0.01,0
3.12,0.75,0.92,0.92,0.09,0
3.67,0.37,0.53,0.53,0.09,1
2.94,0.38,0.09,0.006,0.0,1
0.93,1.45,0.84,0.84,0.05,1
3.59,0.45,0.03,0.005,0.04,1
3.46,1.22,0.29,0.006,0.05,1
4.81,0.03,0.73,0.73,0.07,0
2.79,0.77,0.77,0.77,0.0,1
3.49,1.35,0.69,0.69,0.05,0
1.77,0.4,0.25,0.002,0.04,1
2.7,0.74,0.19,0.005,0.02,0
4.35,1.38,0.68,0.68,0.07,0
4.53,0.88,0.59,0.59,0.06,0
0.39,0.68,0.42,0.005,0.01,1
1.07,0.86,0.4,0.003,0.05,1
0.62,0.03,0.62,0.62,0.03,1
4.64,0.36,0.28,0.004,0.06,1
1.09,0.72,0.25,0.007,0.02,1
2.5,0.11,0.71,0.71,0.03,1
3.96,0.9,0.79,0.79,0.03,1
0.14,1.47,0.14,0.0,0.06,0
3.49,0.1,0.15,0.002,0.04,1
0.43,1.29,0.18,0.001,0.05,0
3.46,0.79,0.7,0.7,0.0,1
2.89,1.11,0.2,0.008,0.02,1
0.27,0.75,0.95,0.95,0.05,1
2.17,1.24,0.44,0.001,0.09,0
0.9,1.01,0.03,0.006,0.09,1
0.83,1.39,0.35,0.001,0.07,1
0.72,1.29,0.39,0.005,0.04,1
3.12,0.04,0.32,0.002,0.02,1
3.98,0.24,0.59,0.59,0.08,1
4.39,0.72,0.39,0.008,0.06,1
1.09,0.76,0.15,0.004,0.01,1
4.44,0.63,0.97,0.97,0.06,1
4.56,0.5,0.09,0.006,0.07,0
3.06,0.84,0.22,0.004,0.09,0
0.78,1.26,0.03,0.003,0.09,1
2.06,0.55,0.58,0.58,0.01,1
2.92,1.36,0.37,0.001,0.05,0
0.95,0.25,0.04,0.003,0.02,1
0.18,0.79,0.89,0.89,0.08,0
2.24,1.18,0.46,0.007,0.05,1
4.0,0.65,0.95,0.95,0.09,1
0.39,0.01,0.75,0.75,0.07,1
3.18,0.96,0.14,0.002,0.02,0
2.61,0.66,0.7,0.7,0.0,0
2.33,0.83,0.8,0.8,0.05,1
2.54,0.78,0.55,0.55,0.01,1
1.93,0.08,0.1,0.008,0.02,1
4.52,0.14,0.41,0.006,0.02,0
3.91,1.08,0.15,0.001,0.0,1
4.58,0.82,0.74,0.74,0.07,0
3.09,0.33,0.49,0.007,0.03,1
3.05,0.4,0.74,0.74,0.0,0
4.53,1.08,0.38,0.002,0.04,1
4.71,1.29,0.28,0.002,0.07,1
1.81,1.35,0.85,0.85,0.09,1
4.62,1.42,0.48,0.006,0.05,1
4.18,0.31,0.01,0.007,0.04,1
1.12,0.03,0.6,0.6,0.04,1
0.19,1.48,0.57,0.57,0.04,0
0.14,0.11,0.85,0.85,0.06,1
3.01,0.2,0.45,0.005,0.01,1
2.16,1.05,0.58,0.58,0.01,0
3.39,1.03,0.18,0.004,0.08,0
1.01,1.38,0.31,0.009,0.08,0
3.51,0.74,0.55,0.55,0.05,1
2.2,0.09,0.11,0.003,0.09,0
1.4,1.04,0.26,0.001,0.0,1
1.77,0.95,0.91,0.91,0.0,1
1.08,1.02,0.4,0.0,0.08,0
1.99,1.3,0.03,0.007,0.04,1
0.84,1.08,0.32,0.001,0.08,1
1.53,1.2,0.26,0.006,0.0,0
2.14,0.99,0.05,0.009,0.02,1
3.93,0.67,0.4,0.008,0.03,1
4.73,1.08,0.44,0.005,0.01,1
3.69,0.93,0.36,0.003,0.09,1
3.01,0.88,0.25,0.002,0.04,1
1.15,0.16,0.02,0.003,0.01,1
4.66,0.3,0.2,0.003,0.0,1
2.13,0.63,0.75,0.75,0.02,0
4.73,1.49,0.24,0.003,0.07,1
0.09,0.16,0.51,0.51,0.07,0
2.33,0.75,0.51,0.51,0.08,1
1.34,0.61,0.01,0.001,0.06,1
3.62,1.44,0.34,0.004,0.08,1
1.82,1.27,0.15,0.002,0.04,1
1.79,0.76,0.23,0.004,0.02,1
0.18,0.14,0.36,0.005,0.03,1
3.01,1.14,0.79,0.79,0.03,1
3.68,0.64,0.26,0.006,0.04,0
2.04,1.36,0.94,0.94,0.03,1
1.45,0.53,0.02,0.001,0.06,0
2.8,0.27,0.2,0.005,0.08,1
3.34,0.65,0.51,0.51,0.03,1
1.92,0.33,0.83,0.83,0.08,1
2.52,0.8,0.54,0.54,0.0,0
0.93,0.81,0.2,0.007,0.02,1
4.07,1.36,0.73,0.73,0.02,0
2.46,0.63,0.09,0.007,0.09,1
0.22,1.46,0.59,0.59,0.08,0
1.36,0.61,0.65,0.65,0.06,1
1.77,0.96,0.32,0.008,0.05,1
3.92,0.03,0.24,0.002,0.07,0
2.92,0.68,0.8,0.8,0.04,1
1.38,1.5,0.36,0.0,0.02,1
1.55,1.07,0.52,0.52,0.0,1
2.78,0.8,0.29,0.001,0.08,1
4.69,0.55,0.03,0.005,0.04,0
0.63,0.79,0.37,0.001,0.06,1
0.24,0.65,0.57,0.57,0.09,1
3.79,0.59,0.4,0.008,0.07,1
3.0,0.47,0.28,0.005,0.09,1
4.79,0.51,0.69,0.69,0.03,1
4.31,0.77,0.67,0.67,0.07,0
2.64,0.99,0.41,0.0,0.08,1
3.69,0.91,0.74,0.74,0.03,0
1.36,1.03,0.44,0.007,0.02,1
0.65,1.39,0.3,0.005,0.06,1
0.24,1.25,0.28,0.002,0.04,1
2.65,1.27,0.53,0.53,0.01,1
4.84,0.02,0.1,0.007,0.03,1
4.29,0.67,0.59,0.59,0.02,1
3.44,1.48,0.06,0.001,0.09,0
0.95,0.33,0.17,0.0,0.08,0
2.62,0.06,0.42,0.003,0.01,0
4.3,0.79,0.72,0.72,0.07,1
4.13,0.61,0.21,0.001,0.06,1
0.45,0.13,0.36,0.002,0.01,0
2.01,1.01,0.76,0.76,0.0,1
2.02,1.45,0.42,0.009,0.0,1
3.81,1.45,0.44,0.007,0.03,1
4.35,0.87,0.39,0.002,0.07,1
4.04,0.26,0.72,0.72,0.06,0
4.39,1.16,0.85,0.85,0.08,1
0.99,0.34,0.98,0.98,0.08,1
3.38,1.44,0.53,0.53,0.05,1
1.66,1.23,0.79,0.79,0.04,1
0.33,1.1,0.06,0.005,0.09,1
1.65,1.29,0.05,0.002,0.05,1
2.96,0.63,0.48,0.007,0.05,0
3.25,1.34,0.28,0.003,0.06,1
3.72,1.2,0.36,0.008,0.02,1
1.51,1.41,0.99,0.99,0.03,0
4.04,1.26,0.74,0.74,0.08,1
4.44,0.37,0.35,0.004,0.03,0
0.35,1.1,0.89,0.89,0.08,1
4.15,0.04,0.13,0.002,0.06,1
1.54,0.95,1.0,1.0,0.09,1
1.71,0.41,0.72,0.72,0.04,1
0.15,0.13,0.93,0.93,0.01,1
4.76,1.15,0.07,0.001,0.03,1
4.12,0.29,0.29,0.0,0.07,0
0.7,0.71,0.2,0.008,0.02,1
2.69,1.39,0.27,0.002,0.04,0
1.5,0.14,0.57,0.57,0.07,0
4.12,0.13,0.43,0.008,0.01,0
2.69,0.7,0.07,0.008,0.05,0
2.34,1.32,0.1,0.005,0.07,0
1.91,1.18,0.55,0.55,0.06,0
0.05,0.19,0.76,0.76,0.08,0
0.87,0.84,0.33,0.005,0.05,1
2.99,1.32,0.99,0.99,0.0,1
4.96,0.64,0.69,0.69,0.05,1
2.79,0.71,0.84,0.84,0.01,1
3.13,1.24,0.51,0.51,0.05,1
4.7,0.1,0.42,0.0,0.09,1
1.22,0.21,0.67,0.67,0.09,0
0.36,0.58,0.21,0.006,0.02,1
3.57,0.23,0.44,0.007,0.05,1
0.01,1.43,0.63,0.63,0.05,1
4.13,0.44,0.14,0.001,0.06,0
2.06,0.09,0.84,0.84,0.05,1
4.05,0.18,0.81,0.81,0.07,1
4.98,0.29,0.58,0.58,0.02,1
4.55,0.37,0.45,0.001,0.06,1
2.77,0.56,0.94,0.94,0.01,1
1.52,1.28,0.77,0.77,0.07,1
4.95,1.26,0.87,0.87,0.08,1
0.19,1.14,0.22,0.002,0.06,1
1.45,0.81,0.19,0.001,0.02,1
3.44,1.46,0.75,0.75,0.07,0
2.01,0.31,0.26,0.002,0.06,0
2.69,0.36,0.64,0.64,0.08,1
2.45,0.83,0.6,0.6,0.0,1
0.5,1.36,0.74,0.74,0.08,1
4.08,0.1,0.79,0.79,0.03,0
3.52,0.59,0.18,0.008,0.05,1
2.24,0.6,0.39,0.009,0.08,1
2.97,0.19,0.92,0.92,0.01,0
3.63,0.2,0.69,0.69,0.08,0
2.97,0.58,0.22,0.002,0.05,0
2.61,1.34,0.76,0.76,0.03,0
0.95,0.06,0.75,0.75,0.05,1
1.65,0.45,0.63,0.63,0.02,1
2.94,1.21,0.4,0.002,0.03,0
2.08,0.64,0.18,0.007,0.04,1
0.8,1.16,0.94,0.94,0.01,0
1.37,1.08,0.99,0.99,0.01,0
4.64,0.49,0.6,0.6,0.07,0
1.49,1.09,0.65,0.65,0.04,1
1.08,0.66,0.07,0.008,0.05,1
4.11,0.83,0.16,0.001,0.09,1
3.36,0.7,0.87,0.87,0.07,1
2.1,1.15,0.61,0.61,0.02,1
4.85,1.2,0.2,0.002,0.04,1
0.71,0.68,0.39,0.001,0.03,1
0.48,0.16,0.91,0.91,0.09,0
0.19,0.85,0.1,0.001,0.0,0
4.77,1.34,0.97,0.97,0.01,1
2.2,0.35,0.86,0.86,0.01,1
0.11,0.79,0.63,0.63,0.01,1
2.22,0.23,0.18,0.007,0.07,1
2.08,0.59,0.61,0.61,0.02,1
2.88,0.91,0.78,0.78,0.06,1
0.76,0.19,0.9,0.9,0.06,0
1.37,0.28,0.89,0.89,0.03,0
2.21,1.39,0.31,0.005,0.08,1
0.72,0.61,0.55,0.55,0.06,0
0.17,0.05,0.49,0.005,0.05,0
2.1,0.48,0.93,0.93,0.04,1
1.08,1.15,0.7,0.7,0.07,1
4.08,0.94,0.22,0.006,0.05,1
4.5,0.33,0.92,0.92,0.06,1
2.05,1.39,0.75,0.75,0.06,1
1.55,0.34,0.53,0.53,0.05,1
0.41,1.31,0.69,0.69,0.01,1
0.97,0.74,0.32,0.002,0.01,1
4.25,0.46,0.19,0.001,0.03,1
4.04,0.83,0.36,0.004,0.09,0
1.19,0.52,0.74,0.74,0.02,1
4.23,0.58,0.26,0.009,0.01,0
2.28,1.25,0.06,0.007,0.03,0
0.96,0.37,0.03,0.008,0.03,1
2.08,0.5,0.86,0.86,0.05,0
4.6,0.58,0.84,0.84,0.07,0
4.65,0.09,0.83,0.83,0.05,1
2.78,1.49,0.15,0.001,0.09,1
3.97,0.33,0.23,0.001,0.02,1
0.46,0.71,0.85,0.85,0.01,1
0.95,0.56,0.95,0.95,0.05,0
3.0,0.85,0.65,0.65,0.08,1
1.87,0.61,0.73,0.73,0.07,1
3.59,0.29,0.02,0.007,0.06,1
4.03,0.22,0.21,0.005,0.05,1
1.06,0.23,0.42,0.006,0.08,1
1.22,1.46,0.08,0.008,0.02,1
4.03,1.05,0.4,0.007,0.07,1
2.67,0.8,0.13,0.009,0.01,1
2.24,0.76,0.78,0.78,0.08,1
2.63,0.26,0.55,0.55,0.05,1
4.38,0.59,0.75,0.75,0.06,1
3.59,0.27,0.19,0.003,0.01,1
0.82,0.35,0.89,0.89,0.08,0
2.01,1.3,0.12,0.003,0.08,1
3.15,0.79,0.15,0.008,0.0,1
3.25,0.89,0.21,0.002,0.03,1
4.06,1.46,0.88,0.88,0.05,1
0.95,1.0,0.79,0.79,0.06,0
4.49,0.47,0.54,0.54,0.03,1
1.88,1.14,0.41,0.001,0.05,1
1.39,0.35,0.89,0.89,0.03,0
1.39,0.48,0.43,0.003,0.03,1
3.81,1.43,0.51,0.51,0.03,0
3.09,0.74,0.95,0.95,0.07,0
3.01,1.15,0.5,0.5,0.02,0
2.01,0.04,0.22,0.009,0.07,0
3.02,0.79,0.7,0.7,0.08,0
1.92,1.07,0.19,0.0,0.0,1
3.38,1.14,0.91,0.91,0.06,1
1.03,0.15,0.62,0.62,0.07,1
0.92,1.31,0.91,0.91,0.08,1
4.93,0.29,0.31,0.005,0.04,1
4.87,0.7,0.94,0.94,0.07,0
1.48,0.06,0.12,0.008,0.08,1
3.51,0.79,0.43,0.005,0.02,0
3.69,0.05,0.2,0.001,0.08,1
2.78,1.16,0.43,0.009,0.08,0
1.75,0.09,1.0,1.0,0.08,0
3.85,0.41,0.67,0.67,0.07,1
3.61,1.26,0.38,0.007,0.02,1
3.18,1.1,0.12,0.001,0.0,1
3.74,1.1,0.5,0.5,0.02,1
4.82,0.14,0.89,0.89,0.02,1
0.75,0.56,0.43,0.002,0.08,0
0.23,0.96,0.64,0.64,0.08,0
4.98,0.36,0.3,0.005,0.04,1
2.38,0.57,0.68,0.68,0.03,1
0.92,0.52,0.2,0.003,0.07,1
4.44,1.45,0.19,0.006,0.08,0
3.01,1.43,0.84,0.84,0.07,1
3.62,0.54,0.45,0.0,0.0,1
0.71,1.32,0.99,0.99,0.03,1
0.25,0.69,0.01,0.004,0.04,1
0.53,0.99,0.42,0.002,0.06,1
3.79,0.84,0.15,0.001,0.01,1
3.07,0.13,0.59,0.59,0.07,0
2.47,1.14,0.68,0.68,0.02,1
1.82,0.4,0.27,0.0,0.09,1
4.35,1.31,0.42,0.005,0.08,1
3.99,0.31,0.47,0.004,0.07,1
1.83,1.49,0.13,0.007,0.02,0
0.21,0.58,0.8,0.8,0.07,1
3.08,1.12,0.02,0.006,0.01,0
1.94,0.8,0.69,0.69,0.05,0
1.93,1.16,0.29,0.005,0.04,1
